"","MA.id","CDSR.id","outcome","modelname","col.group","num_studies","est","se","low","up","width","tau","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
"7892",658,"CD012780","Cohen's d","ctebayesian","Bayesian",10,-0.0730324257481881,0.669216635793203,-1.3900098927132,1.23656510058371,2.62657499329691,NA,NA,NA,NA,NA,NA,NA
"7893",658,"CD012780","Hedge's g","ivfe","Frequentist",10,-0.0335452615953466,0.321777623838825,-0.664217815350321,0.597127292159628,1.26134510750995,NA,NA,NA,NA,NA,NA,NA
"7894",658,"CD012780","Hedge's g","ivre","Frequentist",10,-0.0335452615953466,0.321777623838825,-0.664217815350321,0.597127292159628,1.26134510750995,0,NA,NA,NA,NA,NA,NA
"7895",658,"CD012780","Hedge's g","htebayesian","Bayesian",10,-0.0310372891410843,0.331301723891834,-0.671551204760511,0.64291847822683,1.31446968298734,0.234909769111357,-1.24672020559662,1.88271792459601,2.49344041119324,0.0536870612648651,0.00524740786730162,0.10737412252973
"7896",658,"CD012780","Hedge's g","ctebayesian","Bayesian",10,-0.0383959842386694,0.313555797008376,-0.656460628252905,0.57710948344176,1.23357011169466,NA,NA,NA,NA,NA,NA,NA
"7897",659,"CD012780","MD","ivfe","Frequentist",9,-0.0816879110219452,0.412747029594693,-0.890657223753432,0.727281401709542,1.61793862546297,NA,NA,NA,NA,NA,NA,NA
"7898",659,"CD012780","MD","ivre","Frequentist",9,0.288428470275474,0.0563335939417325,0.178016655029974,0.398840285520973,0.220823630490999,0,NA,NA,NA,NA,NA,NA
"7899",659,"CD012780","MD","htebayesian","Bayesian",9,0.288536426754781,0.275237243970886,-0.225237634662958,0.824596961829344,1.0498345964923,0.208078695010761,2.05262298669316,1.16754033753264,-4.10524597338633,0.0778018433643611,0.0516438880725076,0.155603686728722
"7900",659,"CD012780","MD","ctebayesian","Bayesian",9,0.294683397254255,0.243051589954643,-0.185421084282979,0.766393801905729,0.951814886188708,NA,NA,NA,NA,NA,NA,NA
"7901",659,"CD012780","Cohen's d","ivfe","Frequentist",9,0.00601603382271875,0.055991211100743,-0.103724723385517,0.115756791030954,0.219481514416471,NA,NA,NA,NA,NA,NA,NA
"7902",659,"CD012780","Cohen's d","ivre","Frequentist",9,0.00601603382271875,0.055991211100743,-0.103724723385517,0.115756791030954,0.219481514416471,0,NA,NA,NA,NA,NA,NA
"7903",659,"CD012780","Cohen's d","htebayesian","Bayesian",9,-0.0424188961990953,0.795395194855916,-1.6263714864116,1.47465213355639,3.10102361996798,0.580725857408106,-4.64982523030304,9.67766905845242,9.29965046060607,0.0898041955308875,0.381787184083577,0.179608391061775
"7904",659,"CD012780","Cohen's d","ctebayesian","Bayesian",9,-0.0905130640341117,0.71399709341574,-1.49225609276761,1.30329061925085,2.79554671201846,NA,NA,NA,NA,NA,NA,NA
"7905",659,"CD012780","Hedge's g","ivfe","Frequentist",9,-0.0352314367341345,0.339073242380205,-0.699802779920557,0.629339906452288,1.32914268637285,NA,NA,NA,NA,NA,NA,NA
"7906",659,"CD012780","Hedge's g","ivre","Frequentist",9,-0.0352314367341345,0.339073242380205,-0.699802779920557,0.629339906452288,1.32914268637285,0,NA,NA,NA,NA,NA,NA
"7907",659,"CD012780","Hedge's g","htebayesian","Bayesian",9,-0.031629816239843,0.375792110906306,-0.804516586691335,0.694739362116624,1.49925594880796,0.254711781476267,-1.33022212706948,2.03776372153711,2.66044425413897,0.0671944522592081,0.00463147314053954,0.134388904518416
"7908",659,"CD012780","Hedge's g","ctebayesian","Bayesian",9,-0.040982819078928,0.33019229348374,-0.684981489632078,0.611759666752267,1.29674115638435,NA,NA,NA,NA,NA,NA,NA
"7909",660,"CD012780","MD","ivfe","Frequentist",9,0.339413909021174,0.362168725503914,-0.370423749293271,1.04925156733562,1.41967531662889,NA,NA,NA,NA,NA,NA,NA
"7910",660,"CD012780","MD","ivre","Frequentist",9,0.405780458078615,0.152622662792433,0.106645535780846,0.704915380376384,0.598269844595539,0.406132202644237,NA,NA,NA,NA,NA,NA
"7911",660,"CD012780","MD","htebayesian","Bayesian",9,0.404005184978037,0.291050353279454,-0.177523124687387,0.958389152622649,1.13591227731004,0.231418278478649,2.97213352154682,1.35750960619274,-5.94426704309365,0.164977153703953,0.0740963234942792,0.329954307407905
"7912",660,"CD012780","MD","ctebayesian","Bayesian",9,0.378814018450176,0.253249150770474,-0.117656647525786,0.877611424645254,0.995268072171039,NA,NA,NA,NA,NA,NA,NA
"7913",660,"CD012780","Cohen's d","ivfe","Frequentist",9,0.0474018932656297,0.0578450576943472,-0.0659723364989323,0.160776123030192,0.226748459529124,NA,NA,NA,NA,NA,NA,NA
"7914",660,"CD012780","Cohen's d","ivre","Frequentist",9,0.0474018932656297,0.0578450576943472,-0.0659723364989323,0.160776123030192,0.226748459529124,0,NA,NA,NA,NA,NA,NA
"7915",660,"CD012780","Cohen's d","htebayesian","Bayesian",9,0.0490546747212806,0.84277118749482,-1.6977924638254,1.61558432852131,3.31337679234671,0.597656131721632,-4.28893140276178,10.3090283634823,8.57786280552356,0.0659613199443564,0.274205440244554,0.131922639888713
"7916",660,"CD012780","Cohen's d","ctebayesian","Bayesian",9,0.0541059924586296,0.738962836530994,-1.40443286554373,1.50514803849612,2.90958090403985,NA,NA,NA,NA,NA,NA,NA
"7917",660,"CD012780","Hedge's g","ivfe","Frequentist",9,0.0542914304228591,0.337950888164469,-0.608080138922823,0.716662999768541,1.32474313869136,NA,NA,NA,NA,NA,NA,NA
