"","MA.id","CDSR.id","est","se","low","up","width","tau","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic","modelname","col.group","outcome","num_studies"
"482",482,"CD003316",38.3756606526501,6.95532359737432,24.2071994435858,51.6916936269623,27.4844941833766,27.9526404782942,683.643580762806,0.67255710358932,-1367.28716152561,109.180812530563,0.0977252025463719,218.361625061125,"htebayesian.tau100","bayesian","MD",17
"483",483,"CD008823",-3.18417200886605,0.73654100512997,-4.64004199233992,-1.73695336077732,2.9030886315626,5.51738987407377,-193.562497919079,17.833075102145,387.124995838159,41.294279150127,1.22543960806944,82.5885583002541,"htebayesian.tau100","bayesian","MD",58
"484",484,"CD000375",-0.0139647450237037,1.08635565116275,-2.1386036347106,2.09426099068393,4.23286462539453,0.80326940582822,-3.88168444402577,9.63474941441498,7.76336888805154,0.338844568000552,0.4944704325639,0.677689136001103,"htebayesian.tau100","bayesian","MD",6
"485",485,"CD003316",15.9280725400204,9.46275799258003,-5.33351374947776,33.4505583636971,38.7840721131748,17.5796030192601,85.0138077890416,0.268801036804092,-170.027615578083,30.6399492958022,0.0976818765844055,61.2798985916044,"htebayesian.tau100","bayesian","MD",5
"486",486,"CD008823",-2.99350826679707,1.18622035876053,-5.34411095394689,-0.643939112078733,4.70017184186816,4.30713479306073,-47.8843610981931,5.75119647992615,95.7687221963861,15.4757193107528,0.755969888097524,30.9514386215056,"htebayesian.tau100","bayesian","MD",15
"487",487,"CD000375",-0.089471839134186,0.924493481968673,-1.81720924809834,1.755797010891,3.57300625898935,0.889132550582578,-2.23161814302653,4.18048448714751,4.46323628605305,0.961689218846446,0.265404311710802,1.92337843769289,"htebayesian.tau100","bayesian","MD",5
"488",488,"CD003316",28.1571726075762,12.3135652336047,2.0132916704956,51.0704304151647,49.0571387446691,38.3839131901034,324.268610035601,0.374823762420852,-648.537220071202,110.050399761861,0.0630635051253282,220.100799523722,"htebayesian.tau100","bayesian","MD",10
"489",489,"CD008823",-1.52329501748351,0.426405334468051,-2.36157424979726,-0.684398698631312,1.67717555116594,2.99995666897433,-94.7929123966051,25.2674324787442,189.58582479321,21.1122605001435,1.84468330811173,42.224521000287,"htebayesian.tau100","bayesian","MD",54
"490",490,"CD003316",2.77466948619071,1.16526388492582,0.441981048651752,5.06663562483173,4.62465457617998,3.01896142262033,22.7285148026673,4.31369231439048,-45.4570296053347,8.06950453797366,1.10447481245138,16.1390090759473,"htebayesian.tau100","bayesian","MD",9
"491",491,"CD008823",-3.58333693575051,0.943865744778125,-5.45015272168625,-1.7284961256561,3.72165659603016,5.26306079681024,-122.59035783542,9.13425021432734,245.180715670841,29.2913729890389,0.663120762851142,58.5827459780777,"htebayesian.tau100","bayesian","MD",33
"492",492,"CD003316",3.13254721320105,0.785445481454853,1.68482679523214,4.63037289265362,2.94554609742148,0.943638137331914,14.6651740738437,2.21658698127462,-29.3303481476874,1.17024474370122,0.289053632814226,2.34048948740243,"htebayesian.tau100","bayesian","MD",5
"493",493,"CD008823",-4.31181024171448,1.02818729772488,-6.33347909754897,-2.2825321591341,4.05094693841488,6.29392832183952,-174.123914795066,11.9926873665611,348.247829590132,38.3025414307858,1.17101820965153,76.6050828615716,"htebayesian.tau100","bayesian","MD",39
"494",494,"CD003316",2.55755583350944,1.48390191565928,-0.421351437766736,5.51459669591735,5.93594813368409,3.92660197420604,20.9841990282764,3.97951110653231,-41.9683980565528,10.4568531101454,0.839603206675497,20.9137062202907,"htebayesian.tau100","bayesian","MD",9
